year,biomass,n2o
1979,7379.29931640625,2.11880642175674
1980,7416.50439453125,1.93641024827957
1981,7653.73535156253,2.04857915639877
1982,7045.169921875,2.09496784210205
1983,7149.3291015625,2.16163045167923
1984,7500.51904296913,1.97930258512497
1985,7153.68750000051,1.83622181415558
1986,7692.61669921966,1.92048054933548
1987,7489.9028320316,1.53472888469696
1988,7880.93457031336,2.02027344703674
1989,6826.77197265677,1.98757129907608
1990,7316.24462890715,2.24857896566391
1991,7088.77978515724,1.84823781251907
1992,7085.4497070328,2.06233805418015
1993,7484.37011718856,1.80514466762543
1994,7306.39453125117,1.81522607803345
1995,6969.03271484426,2.14957964420319
1996,7220.73193359375,2.19240349531174
1997,6843.94140625094,2.09695839881897
1998,6995.86132812512,1.97459632158279
1999,7037.1997070314,1.85250890254974
2000,7268.85693359375,1.71211922168732
2001,7533.4365234389,1.78651720285416
2002,6765.99560546888,1.75817662477493
2003,6848.35546875098,2.03199934959412
2004,7033.55029296875,1.86488020420074
2005,7431.51416015625,1.8456956744194
2006,6855.43701171875,1.90388613939285
2007,6639.13671875008,1.87584662437439
2008,6924.19726562505,1.71203392744064
2009,6744.26611328143,1.88022345304489
